BodyMarkingsBodyWritingsModulePosition,Position
BodyMarkingsBodyWritingsModuleText,Text
BodyMarkingsBodyWritingsOptionp0,Collarbone Right
BodyMarkingsBodyWritingsOptionp1,Collarbone Center
BodyMarkingsBodyWritingsOptionp2,Collarbone Left
BodyMarkingsBodyWritingsOptionp3,Ribs Right
BodyMarkingsBodyWritingsOptionp4,Ribs Center
BodyMarkingsBodyWritingsOptionp5,Ribs Left
BodyMarkingsBodyWritingsOptionp6,Hips Right
BodyMarkingsBodyWritingsOptionp7,Hips Center
BodyMarkingsBodyWritingsOptionp8,Hips Left
BodyMarkingsBodyWritingsOptiont0,No
BodyMarkingsBodyWritingsOptiont1,Yes
BodyMarkingsBodyWritingsSelectBase,Select Writings
BodyMarkingsBodyWritingsSelectPosition,Select Position
BodyMarkingsBodyWritingsSelectText,Apply Text
BodyMarkingsWombTattoosModuleBig,Big
BodyMarkingsWombTattoosModuleBloom,Bloom
BodyMarkingsWombTattoosModuleBottomSpike,BottomSpike
BodyMarkingsWombTattoosModuleFlash,Flash
BodyMarkingsWombTattoosModuleFly,Fly
BodyMarkingsWombTattoosModuleGrass,Grass
BodyMarkingsWombTattoosModuleGrow,Grow
BodyMarkingsWombTattoosModuleGrowHollow,GrowHollow
BodyMarkingsWombTattoosModuleHeartline,Heartline
BodyMarkingsWombTattoosModuleHeartSmall,HeartSmall
BodyMarkingsWombTattoosModuleHeartSmallOutline,HeartSmallOutline
BodyMarkingsWombTattoosModuleHeartSolid,HeartSolid
BodyMarkingsWombTattoosModuleHeartWings,HeartWings
BodyMarkingsWombTattoosModuleIn,In
BodyMarkingsWombTattoosModuleLeaves,Leaves
BodyMarkingsWombTattoosModuleMidSpike,MidSpike
BodyMarkingsWombTattoosModuleRibow,Ribow
BodyMarkingsWombTattoosModuleSense,Sense
BodyMarkingsWombTattoosModuleShake,Shake
BodyMarkingsWombTattoosModuleSideHearts,SideHearts
BodyMarkingsWombTattoosModuleSwim,Swim
BodyMarkingsWombTattoosModuleThorn,Thorn
BodyMarkingsWombTattoosModuleThornOut,ThornOut
BodyMarkingsWombTattoosModuleTopSpike,TopSpike
BodyMarkingsWombTattoosModuleVenom,Venom
BodyMarkingsWombTattoosModuleViper,Viper
BodyMarkingsWombTattoosModuleWaves,Waves
BodyMarkingsWombTattoosModuleWingSmall,WingSmall
BodyMarkingsWombTattoosModuleZoom,Zoom
BodyMarkingsWombTattoosOptionb0,No
BodyMarkingsWombTattoosOptionb1,Yes
BodyMarkingsWombTattoosOptionc0,No
BodyMarkingsWombTattoosOptionc1,Yes
BodyMarkingsWombTattoosOptiond0,No
BodyMarkingsWombTattoosOptiond1,Yes
BodyMarkingsWombTattoosOptione0,No
BodyMarkingsWombTattoosOptione1,Yes
BodyMarkingsWombTattoosOptionf0,No
BodyMarkingsWombTattoosOptionf1,Yes
BodyMarkingsWombTattoosOptiong0,No
BodyMarkingsWombTattoosOptiong1,Yes
BodyMarkingsWombTattoosOptionh0,No
BodyMarkingsWombTattoosOptionh1,Yes
BodyMarkingsWombTattoosOptioni0,No
BodyMarkingsWombTattoosOptioni1,Yes
BodyMarkingsWombTattoosOptionj0,No
BodyMarkingsWombTattoosOptionj1,Yes
BodyMarkingsWombTattoosOptionk0,No
BodyMarkingsWombTattoosOptionk1,Yes
BodyMarkingsWombTattoosOptionl0,No
BodyMarkingsWombTattoosOptionl1,Yes
BodyMarkingsWombTattoosOptionm0,No
BodyMarkingsWombTattoosOptionm1,Yes
BodyMarkingsWombTattoosOptionn0,No
BodyMarkingsWombTattoosOptionn1,Yes
BodyMarkingsWombTattoosOptiono0,No
BodyMarkingsWombTattoosOptiono1,Yes
BodyMarkingsWombTattoosOptionp0,No
BodyMarkingsWombTattoosOptionp1,Yes
BodyMarkingsWombTattoosOptionq0,No
BodyMarkingsWombTattoosOptionq1,Yes
BodyMarkingsWombTattoosOptionr0,No
BodyMarkingsWombTattoosOptionr1,Yes
BodyMarkingsWombTattoosOptions0,No
BodyMarkingsWombTattoosOptions1,Yes
BodyMarkingsWombTattoosOptiont0,No
BodyMarkingsWombTattoosOptiont1,Yes
BodyMarkingsWombTattoosOptionu0,No
BodyMarkingsWombTattoosOptionu1,Yes
BodyMarkingsWombTattoosOptionv0,No
BodyMarkingsWombTattoosOptionv1,Yes
BodyMarkingsWombTattoosOptionw0,No
BodyMarkingsWombTattoosOptionw1,Yes
BodyMarkingsWombTattoosOptionx0,No
BodyMarkingsWombTattoosOptionx1,Yes
BodyMarkingsWombTattoosOptiony0,No
BodyMarkingsWombTattoosOptiony1,Yes
BodyMarkingsWombTattoosOptionz0,No
BodyMarkingsWombTattoosOptionz1,Yes
BodyMarkingsWombTattoosOptionza0,No
BodyMarkingsWombTattoosOptionza1,Yes
BodyMarkingsWombTattoosOptionzb0,No
BodyMarkingsWombTattoosOptionzb1,Yes
BodyMarkingsWombTattoosOptionzc0,No
BodyMarkingsWombTattoosOptionzc1,Yes
BodyMarkingsWombTattoosOptionzd0,No
BodyMarkingsWombTattoosOptionzd1,Yes
BodyMarkingsWombTattoosSelectBase,Select Tattoos
BodyMarkingsWombTattoosSelectBig,Apply
BodyMarkingsWombTattoosSelectBloom,Apply
BodyMarkingsWombTattoosSelectBottomSpike,Apply
BodyMarkingsWombTattoosSelectFlash,Apply
BodyMarkingsWombTattoosSelectFly,Apply
BodyMarkingsWombTattoosSelectGrass,Apply
BodyMarkingsWombTattoosSelectGrow,Apply
BodyMarkingsWombTattoosSelectGrowHollow,Apply
BodyMarkingsWombTattoosSelectHeartline,Apply
BodyMarkingsWombTattoosSelectHeartSmall,Apply
BodyMarkingsWombTattoosSelectHeartSmallOutline,Apply
BodyMarkingsWombTattoosSelectHeartSolid,Apply
BodyMarkingsWombTattoosSelectHeartWings,Apply
BodyMarkingsWombTattoosSelectIn,Apply
BodyMarkingsWombTattoosSelectLeaves,Apply
BodyMarkingsWombTattoosSelectMidSpike,Apply
BodyMarkingsWombTattoosSelectRibow,Apply
BodyMarkingsWombTattoosSelectSense,Apply
BodyMarkingsWombTattoosSelectShake,Apply
BodyMarkingsWombTattoosSelectSideHearts,Apply
BodyMarkingsWombTattoosSelectSwim,Apply
BodyMarkingsWombTattoosSelectThorn,Apply
BodyMarkingsWombTattoosSelectThornOut,Apply
BodyMarkingsWombTattoosSelectTopSpike,Apply
BodyMarkingsWombTattoosSelectVenom,Apply
BodyMarkingsWombTattoosSelectViper,Apply
BodyMarkingsWombTattoosSelectWaves,Apply
BodyMarkingsWombTattoosSelectWingSmall,Apply
BodyMarkingsWombTattoosSelectZoom,Apply
BodyMarkingsFaceScarsModule1,Forehead
BodyMarkingsFaceScarsModule2,Left Lip
BodyMarkingsFaceScarsModule3,Right Lip
BodyMarkingsFaceScarsModule4,Left Under eye
BodyMarkingsFaceScarsModule5,Right Under eye
BodyMarkingsFaceScarsModule6,Left Cheek Cross
BodyMarkingsFaceScarsModule7,Right Cheek Cross
BodyMarkingsFaceScarsModule8,Left Eye
BodyMarkingsFaceScarsModule9,Right Eye
BodyMarkingsFaceScarsModule10,Nose
BodyMarkingsFaceScarsModule11,Vertical
BodyMarkingsFaceScarsOptiona0,No
BodyMarkingsFaceScarsOptiona1,Yes
BodyMarkingsFaceScarsOptionb0,No
BodyMarkingsFaceScarsOptionb1,Yes
BodyMarkingsFaceScarsOptionc0,No
BodyMarkingsFaceScarsOptionc1,Yes
BodyMarkingsFaceScarsOptiond0,No
BodyMarkingsFaceScarsOptiond1,Yes
BodyMarkingsFaceScarsOptione0,No
BodyMarkingsFaceScarsOptione1,Yes
BodyMarkingsFaceScarsOptionf0,No
BodyMarkingsFaceScarsOptionf1,Yes
BodyMarkingsFaceScarsOptiong0,No
BodyMarkingsFaceScarsOptiong1,Yes
BodyMarkingsFaceScarsOptionh0,No
BodyMarkingsFaceScarsOptionh1,Yes
BodyMarkingsFaceScarsOptioni0,No
BodyMarkingsFaceScarsOptioni1,Yes
BodyMarkingsFaceScarsOptionj0,No
BodyMarkingsFaceScarsOptionj1,Yes
BodyMarkingsFaceScarsOptionk0,No
BodyMarkingsFaceScarsOptionk1,Yes
BodyMarkingsFaceScarsSelectBase,Select Mark
BodyMarkingsFaceScarsSelect1,Apply
BodyMarkingsFaceScarsSelect2,Apply
BodyMarkingsFaceScarsSelect3,Apply
BodyMarkingsFaceScarsSelect4,Apply
BodyMarkingsFaceScarsSelect5,Apply
BodyMarkingsFaceScarsSelect6,Apply
BodyMarkingsFaceScarsSelect7,Apply
BodyMarkingsFaceScarsSelect8,Apply
BodyMarkingsFaceScarsSelect9,Apply
BodyMarkingsFaceScarsSelect10,Apply
BodyMarkingsFaceScarsSelect11,Apply
BodyMarkingsFacePaintsModule1,Bottom stripes
BodyMarkingsFacePaintsModule2,Top stripes
BodyMarkingsFacePaintsModule3,Cheek spots
BodyMarkingsFacePaintsModule4,Eye spots
BodyMarkingsFacePaintsModule5,Forhead spots
BodyMarkingsFacePaintsModule6,Muzzle
BodyMarkingsFacePaintsModule7,Nose spots
BodyMarkingsFacePaintsModule8,Left barcode
BodyMarkingsFacePaintsModule9,Right barcode
BodyMarkingsFacePaintsOptiona0,No
BodyMarkingsFacePaintsOptiona1,Yes
BodyMarkingsFacePaintsOptionb0,No
BodyMarkingsFacePaintsOptionb1,Yes
BodyMarkingsFacePaintsOptionc0,No
BodyMarkingsFacePaintsOptionc1,Yes
BodyMarkingsFacePaintsOptiond0,No
BodyMarkingsFacePaintsOptiond1,Yes
BodyMarkingsFacePaintsOptione0,No
BodyMarkingsFacePaintsOptione1,Yes
BodyMarkingsFacePaintsOptionf0,No
BodyMarkingsFacePaintsOptionf1,Yes
BodyMarkingsFacePaintsOptiong0,No
BodyMarkingsFacePaintsOptiong1,Yes
BodyMarkingsFacePaintsOptionh0,No
BodyMarkingsFacePaintsOptionh1,Yes
BodyMarkingsFacePaintsOptioni0,No
BodyMarkingsFacePaintsOptioni1,Yes
BodyMarkingsFacePaintsSelectBase,Select marks
BodyMarkingsFacePaintsSelect1,Apply
BodyMarkingsFacePaintsSelect2,Apply
BodyMarkingsFacePaintsSelect3,Apply
BodyMarkingsFacePaintsSelect4,Apply
BodyMarkingsFacePaintsSelect5,Apply
BodyMarkingsFacePaintsSelect6,Apply
BodyMarkingsFacePaintsSelect7,Apply
BodyMarkingsFacePaintsSelect8,Apply
BodyMarkingsFacePaintsSelect9,Apply
BodyUpperFlatMediumDefault,Default
BodyUpperFlatMediumSelect,Select body overlay.
BodyUpperFlatSmallDefault,Default
BodyUpperFlatSmallSelect,Select body overlay.
BodyUpperLargeDefault,Default
BodyUpperLargeSelect,Select body overlay.
BodyUpperNormalDefault,Default
BodyUpperNormalSelect,Select body overlay.
BodyUpperSmallDefault,Default
BodyUpperSmallSelect,Select body overlay.
BodyUpperXLargeDefault,Default
BodyUpperXLargeSelect,Select body overlay.
BondageBenchStrapsPoseFull,Full
BondageBenchStrapsPoseHeavy,Heavy
BondageBenchStrapsPoseLight,Light
BondageBenchStrapsPoseNone,No straps
BondageBenchStrapsPoseNormal,Normal
BondageBenchStrapsRestrainFull,SourceCharacter fully restrains TargetCharacter to the bondage bench with a large amount of leather belts.
BondageBenchStrapsRestrainHeavy,SourceCharacter strictly restrains TargetCharacter to the bondage bench with a good amount of leather belts.
BondageBenchStrapsRestrainLight,SourceCharacter loosely restrains TargetCharacter to the bondage bench with few leather belts.
BondageBenchStrapsRestrainNone,SourceCharacter removes the leather belts from DestinationCharacter body.
BondageBenchStrapsRestrainNormal,SourceCharacter restrains TargetCharacter to the bondage bench with a handful of leather belts.
BondageBenchStrapsSelectTightness,How many leather belts do you want to apply?
BPumpsdeflatesToBloated,SourceCharacter deflates DestinationCharacter butt pump only a tiny bit.
BPumpsdeflatesToEmpty,SourceCharacter deflates DestinationCharacter butt pump till it's empty.
BPumpsdeflatesToInflated,SourceCharacter deflates DestinationCharacter butt pump till it's half full.
BPumpsdeflatesToLight,SourceCharacter deflates DestinationCharacter butt pump till only slighty filled.
BPumpspumpsToBloated,SourceCharacter inflates DestinationCharacter butt pump three quarters filled.
BPumpspumpsToInflated,SourceCharacter inflates DestinationCharacter butt pump till half full.
BPumpspumpsToLight,SourceCharacter inflates DestinationCharacter butt pump only slightly.
BPumpspumpsToMaximum,SourceCharacter inflates DestinationCharacter butt pump to the maximum amount.
BraceletBand1Both,← Both sides →
BraceletBand1Left,← This side
BraceletBand1Right,That side →
BraceletBand1Select,Select the style.
BraceletSpikeBandsBoth,Both arms
BraceletSpikeBandsLeft,Left arm
BraceletSpikeBandsRight,Right arm
BraceletSpikeBandsSelect,Select a bracelet style.
BraceletWristbandBoth,Both arms
BraceletWristbandLeft,Left arm
BraceletWristbandRight,Right arm
BraceletWristbandSelect,Select a wristband style.
BraceletWristWatchModuleLeft,Left
BraceletWristWatchModuleRight,Right
BraceletWristWatchOptionl0,Circle
BraceletWristWatchOptionl1,Square
BraceletWristWatchOptionl2,None
BraceletWristWatchOptionr0,Cirle
BraceletWristWatchOptionr1,Square
BraceletWristWatchOptionr2,None
BraceletWristWatchSelectBase,Choose Design
BraceletWristWatchSelectLeft,Choose Options
BraceletWristWatchSelectRight,Choose Options
BraceletWristWatchSetb0,SourceCharacter changes DestinationCharacter watch.
BraceletWristWatchSetb1,SourceCharacter changes DestinationCharacter watch.
BraceletWristWatchSetl0,SourceCharacter changes DestinationCharacter watch.
BraceletWristWatchSetl1,SourceCharacter changes DestinationCharacter watch.
BraSwimsuit1Dull,No shine
BraSwimsuit1Select,Select an option.
BraSwimsuit1Shiny,Shiny
BunnyMaskTypeEarless,Earless
BunnyMaskTypeEars,Ears
BunnyTailVibePlugDecreaseTo-1,DestinationCharacterName vibrating bunny vibe stops vibrating.
BunnyTailVibePlugDecreaseTo0,DestinationCharacterName vibrating bunny vibe slows down into a light tease.
BunnyTailVibePlugDecreaseTo1,DestinationCharacterName vibrating bunny vibe returns to a moderate pace.
BunnyTailVibePlugDecreaseTo2,DestinationCharacterName vibrating bunny vibe slows down a tiny bit.
BunnyTailVibePlugIncreaseTo0,DestinationCharacterName vibrating bunny vibe starts teasing TargetPronounObject lightly.
BunnyTailVibePlugIncreaseTo1,DestinationCharacterName vibrating bunny vibe builds up to a moderate pace.
BunnyTailVibePlugIncreaseTo2,DestinationCharacterName vibrating bunny vibe starts buzzing strongly!
BunnyTailVibePlugIncreaseTo3,DestinationCharacterName vibrating bunny vibe jumps up to maximum intensity!
ButtplugDecreaseTo-1,DestinationCharacterName vibrating buttplug stops vibrating.
ButtplugDecreaseTo0,DestinationCharacterName vibrating buttplug slows down into a light tease.
ButtplugDecreaseTo1,DestinationCharacterName vibrating buttplug returns to a moderate pace.
ButtplugDecreaseTo2,DestinationCharacterName vibrating buttplug slows down a tiny bit.
ButtplugIncreaseTo0,DestinationCharacterName vibrating buttplug starts teasing TargetPronounObject lightly.
ButtplugIncreaseTo1,DestinationCharacterName vibrating buttplug builds up to a moderate pace.
ButtplugIncreaseTo2,DestinationCharacterName vibrating buttplug starts buzzing strongly!
ButtplugIncreaseTo3,DestinationCharacterName vibrating buttplug jumps up to maximum intensity!
ButtPlugLockPoseBase,Nothing
ButtPlugLockPoseChainLong,Long Chain
ButtPlugLockPoseChainShort,Short Chain
ButtPlugLockRestrainBase,SourceCharacter removes the chain from DestinationCharacter locking butt plug.
ButtPlugLockRestrainChainLong,SourceCharacter attaches a long chain to DestinationCharacter locking butt plug.
ButtPlugLockRestrainChainShort,SourceCharacter attaches a short chain to DestinationCharacter locking butt plug.
ButtPump,Use the butt plug's pump
CantChangeWhileLockedFuturistic,Access denied.
CatGlassesSelectStyle,Select a style.
CatGlassesStyleBack,Behind hair
CatGlassesStyleFront,Front of hair
CeilingChainBondageLowered,Lowered (long)
CeilingChainBondageLoweredShort,Lowered (short)
CeilingChainBondageSuspended,Suspended
CeilingChainSetLowered,SourceCharacter uses the AssetName on TargetCharacter to lower TargetPronounObject.
CeilingChainSetLoweredShort,SourceCharacter uses the AssetName on TargetCharacter to lower TargetPronounObject.
CeilingChainSetSuspended,SourceCharacter uses the AssetName on TargetCharacter to suspend TargetPronounObject.
ChainBondageAllFours,All Fours
ChainBondageBasic,Basic Tie
ChainBondageBoxTie,Box Tie
ChainBondageChainCuffs,Chain Cuffs
ChainBondageHogtied,Hogtie
ChainBondageKneelingHogtie,Kneeling Hogtie
ChainBondageStrict,Strict Tie
ChainBondageSuspension,Suspension Tie
ChainBondageSuspensionHogtied,Suspended Hogtie
ChainBondageWristElbowHarnessTie,Wrist & Elbow Harness Tie
ChainBondageWristElbowTie,Wrist and Elbow Tie
ChainBondageWristTie,Wrist Tie
ChainClampSetChain,SourceCharacter changes the chain style on DestinationCharacter chest.
ChainClampSetChain2,SourceCharacter changes the chain style on DestinationCharacter chest.
ChainClapNipplesChain,Style 1
ChainClapNipplesChain2,Style 2
chains,chains
ChangeClothes,SourceCharacter changes DestinationCharacter clothes.
CharacterNicknameUpdated,OldNick is now known as NewNick.
ChastityBeltBackShieldClosedBack,SourceCharacter adds the shield to the back of DestinationCharacter belt.
ChastityBeltBackShieldOpenBack,SourceCharacter removes the shield from the back of DestinationCharacter belt.
ChastityClosedBack,Closed Back
ChastityOpenBack,Open Back
ChatRoomStimulationMessageCrotchRope0,Your AssetName rubs against your vulva.
ChatRoomStimulationMessageCrotchRope1,The knot on your AssetName rubs against your clitoris.
ChatRoomStimulationMessageCrotchRope2,The AssetName between your legs digs into your crotch.
ChatRoomStimulationMessageInflated0,The bloated AssetName in your AssetGroup makes you squirm.
ChatRoomStimulationMessageInflated1,You can't help but squeeze the bulging AssetName as you move.
ChatRoomStimulationMessageInflated2,You bite your lips as you're reminded of the AssetName filling your AssetGroup.
ChatRoomStimulationMessagePlugBack0,The AssetName inside of you shifts around as you move.
ChatRoomStimulationMessagePlugBack1,Your AssetName stimulates you constantly as you move around.
ChatRoomStimulationMessagePlugBack2,The AssetName inside your AssetGroup feels awkward as you move.
ChatRoomStimulationMessagePlugBoth0,The plugs keep reminding you of their presence.
ChatRoomStimulationMessagePlugBoth1,Your plugs torment you endlessly.
ChatRoomStimulationMessagePlugBoth2,The plugs stuffed inside you keep you constantly on edge.
ChatRoomStimulationMessagePlugFront0,You feel the AssetName shift around inside your AssetGroup.
ChatRoomStimulationMessagePlugFront1,You notice the AssetName stuffed between your legs.
ChatRoomStimulationMessagePlugFront2,The AssetName inside of you teases you constantly.
ChatRoomStimulationMessageTalk0,You choke momentarily on the AssetName inside your throat.
ChatRoomStimulationMessageTalk1,It is difficult to breath with the AssetName pushing inside your throat.
ChatRoomStimulationMessageTalk2,Your jaw aches from the AssetName shoved down your throat.
ChatRoomStimulationMessageVibe0,The vibration in your sensitive areas is impossible to ignore.
ChatRoomStimulationMessageVibe1,Your body trembles from the AssetName' constant stimulation.
ChatRoomStimulationMessageVibe2,You can't stop noticing the AssetName teasing you.
ChatRoomStimulationMessageVibePlugBack0,Your AssetGroup feels numb from the vibrations.
ChatRoomStimulationMessageVibePlugBack1,The vibrations in your AssetGroup leave you panting without release.
ChatRoomStimulationMessageVibePlugBack2,The vibrator inside your AssetGroup teases you constantly.
ChatRoomStimulationMessageVibePlugFront0,The vibration deep inside your AssetGroup teases you relentlessly.
ChatRoomStimulationMessageVibePlugFront1,The AssetName inside of you vibrates endlessly.
ChatRoomStimulationMessageVibePlugFront2,The AssetName inside of you keeps you on edge.
ChatRoomStimulationMessageWiggling0,Your AssetName wiggles from your AssetGroup as you move.
ChatRoomStimulationMessageWiggling1,You feel a sharp pain in your AssetGroup as the AssetName wiggle slightly.
ChatRoomStimulationMessageWiggling2,The AssetName hanging from your AssetGroup get shuffled as you move around.
ClitRingPoseBase,Nothing
ClitRingPoseLeash,Leash
ClitRingRestrainBase,SourceCharacter removes the attachment from DestinationCharacter clitoris ring.
ClitRingRestrainLeash,SourceCharacter attaches a leash to DestinationCharacter clitoris ring.
ClitStimulatorDecreaseTo-1,DestinationCharacterName clitoral stimulator stops vibrating.
ClitStimulatorDecreaseTo0,DestinationCharacterName clitoral stimulator slows down into a light tease.
ClitStimulatorDecreaseTo1,DestinationCharacterName clitoral stimulator returns to a moderate pace.
ClitStimulatorDecreaseTo2,DestinationCharacterName clitoral stimulator slows down a tiny bit.
ClitStimulatorIncreaseTo0,DestinationCharacterName clitoral stimulator starts teasing TargetPronounObject lightly.
ClitStimulatorIncreaseTo1,DestinationCharacterName clitoral stimulator builds up to a moderate pace.
ClitStimulatorIncreaseTo2,DestinationCharacterName clitoral stimulator starts buzzing strongly!
ClitStimulatorIncreaseTo3,DestinationCharacterName clitoral stimulator jumps up to maximum intensity!
ClitSucloosensToHeavy,SourceCharacter loosens DestinationCharacter clitoris suction cup a bit to a heavy amount of suction.
ClitSucloosensToLight,SourceCharacter loosens DestinationCharacter clitoris suction cup to a light amount of suction.
ClitSucloosensToLoose,SourceCharacter loosens DestinationCharacter clitoris suction cup until it hangs loosely.
ClitSucloosensToMedium,SourceCharacter loosens DestinationCharacter clitoris suction cup to a moderate amount of suction.
ClitSuctightensToHeavy,SourceCharacter tweaks DestinationCharacter clitoris suction cup sucking in TargetPronounPossessive clitoris heavily.
ClitSuctightensToLight,SourceCharacter tweaks DestinationCharacter clitoris suction cup sucking in TargetPronounPossessive clitoris lightly.
ClitSuctightensToMaximum,SourceCharacter tweaks DestinationCharacter clitoris suction cup sucking in TargetPronounPossessive clitoris entirely.
ClitSuctightensToMedium,SourceCharacter tweaks DestinationCharacter clitoris suction cup sucking in TargetPronounPossessive clitoris firmly.
ClothAccessoryBibModulePattern,Pattern
ClothAccessoryBibModuleTxt,Text
ClothAccessoryBibOptionp0,None
ClothAccessoryBibOptionp1,Pacis and Bottles
ClothAccessoryBibOptionp2,Strawberries
ClothAccessoryBibOptionp3,Paw Prints
ClothAccessoryBibOptionp4,Cows
