30,0,(Move Character.),(Move started.),"DialogChatRoomAdminAction(""Move"")",
30,0,(Back to main menu.),(Main menu.),,
90,91,(Revert Character.),(This will revert your character's clothes and restraints back to how they were when you entered the lobby. Use this if you were forced into restraints against your consent. Are you sure you want to revert your character?),,
90,92,(Release Character.),(This will immediately release you of ALL restraints you are wearing and return you to the Main Lobby. Use this only if you are stuck in restraints and nobody can or wants to help you. Are you sure about this?),,
90,0,(Don't use Safeword.),(You can use or remove items by selecting specific body regions on yourself.),,
91,0,"(Yes, revert Character.)",,DialogChatRoomSafewordRevert(),
91,0,"(No, don't revert Character.)",(You can use or remove items by selecting specific body regions on yourself.),,
92,0,"(Yes, I want to be released.)",,DialogChatRoomSafewordRelease(),
92,0,"(No, don't release me.)",(You can use or remove items by selecting specific body regions on yourself.),,
0,,(Play Kinky Dungeon),,DialogStartKinkyDungeon(),DialogHasGamingHeadset()
KinkyDungeonExit,,,"SourceCharacter quit a game of Kinky Dungeon at level KinkyDungeonLevel",,
KinkyDungeonLose,,,"SourceCharacter met her defeat in Kinky Dungeon! She made it to level KinkyDungeonLevel before succumbing.",,
SavedExpressionsSave,,,Save,,
SavedExpressionsLoad,,,Load,,
SavedExpressions,,,Save/Load Expressions,,
ItemArmsWrappedBlanketSelect,,,Select Blanket Bondage,,
ItemArmsWrappedBlanketNormalWrapped,,,Normal,,
ItemArmsWrappedBlanketShouldersWrapped,,,Shoulders Wrapped,,
ItemArmsWrappedBlanketFeetWrapped,,,Feet Wrapped,,
ItemArmsWrappedBlanketFullWrapped,,,Fully Wrapped,,
ItemArmsWrappedBlanketSetNormalWrapped,,,SourceCharacter wraps TargetCharacter in a blanket.,,
ItemArmsWrappedBlanketSetShouldersWrapped,,,SourceCharacter wraps TargetCharacter with her shoulders in a blanket.,,
ItemArmsWrappedBlanketSetFeetWrapped,,,SourceCharacter wraps TargetCharacter with her feet in a blanket.,,
ItemArmsWrappedBlanketSetFullWrapped,,,SourceCharacter fully wraps TargetCharacter in a blanket.,,
SelectItem,,,Select an item to use.,,
SelectItemGroup,,,Select an item to use on the GroupName.,,
SelectActivity,,,Select an activity.,,
SelectActivityGroup,,,Select an activity to use on the GroupName.,,
CannotUseOnSelf,,,Cannot use on yourself.,,
RequireSelfBondage1,,,Requires self-bondage 1.,,
RequireSelfBondage2,,,Requires self-bondage 2.,,
RequireSelfBondage3,,,Requires self-bondage 3.,,
RequireSelfBondage4,,,Requires self-bondage 4.,,
RequireSelfBondage5,,,Requires self-bondage 5.,,
RequireSelfBondage6,,,Requires self-bondage 6.,,
RequireSelfBondage7,,,Requires self-bondage 7.,,
RequireSelfBondage8,,,Requires self-bondage 8.,,
RequireSelfBondage9,,,Requires self-bondage 9.,,
RequireSelfBondage10,,,Requires self-bondage 10.,,
RemoveClothesForItem,,,Remove some clothes first.,,
UnZipSuitForItem,,,Unzip the suit first.,,
RemoveSuspensionForItem,,,Remove the suspension first.,,
ReleaseHogtieForItem,,,Release from hogtie first.,,
RemoveRestraintsFirst,,,Remove some restraints first.,,
CannotBeUsedWhenMounted,,,Cannot be used when mounted.,,
CannotBeUsedWhenYoked,,,Cannot be used while yoked.,,
CannotBeUsedWithFeetSpreader,,,Cannot be used with legs spreader.,,
CannotBeUsedWhileServingDrinks,,,Cannot be used while serving drinks.,,
CannotHaveWand,,,Remove the wand first.,,
CannotUse,,,Cannot use this.,,
RemoveChastityFirst,,,Must remove chastity first.,,
RemoveChainForItem,,,Remove the chain first.,,
CannotBeHogtiedWithAlphaHood,,,Cannot hogtie with this hood.,,
MustCollaredFirst,,,A collar must be fitted first to attach accessories to.,,
MustBeOnBed,,,Must be on a bed to attach addons to.,,
AddItemsToUse,,,Must have an arm/torso/pelvis item to use ceiling tethers.,,
MustBeArmCuffedFirst,,,Must be wearing a set of arm cuffs first.,,
MustBeFeetCuffedFirst,,,Must be wearing a set of ankle cuffs first.,,
NoClothAndCollared,,,Remove some clothes and requires a collar.,,
LegsCannotOpen,,,Legs cannot open.,,
LegsCannotClose,,,Legs cannot close.,,
MustBeAbleToKneel,,,Must be able to kneel.,,
MustStandUpFirst,,,Must stand up first.,,
MustFreeFeetFirst,,,Must free feet first.,,
MustFreeArmsFirst,,,Must free arms first.,,
MustFreeLegsFirst,,,Must free legs first.,,
MustFreeHandsFirst,,,Must free hands first.,,
RemoveShacklesFirst,,,Must remove shackles first.,,
RemoveFaceMaskFirst,,,Must remove face mask first.,,
OwnerBlockedRemotes,,,The use of remotes is forbidden by your owner,,
CannotBeUsedOverGag,,,Cannot be used over the applied gags.,,
Cancel,,,Cancel,,
Exit,,,Back to character,,
Next,,,View next items,,
NextPage,,,View next page,,
Remove,,,Remove the item,,
Use,,,Use this item,,
UseDisabled,,,Unable to use due to player permissions,,
Struggle,,,Try to struggle out,,
Dismount,,,Dismount,,
Escape,,,Escape from the item,,
LockMenu,,,Lock related actions,,
Lock,,,Use a lock,,
LockDisabled,,,Unable to lock item due to player permissions,,
Unlock,,,Unlock the item,,
PickLock,,,Try to pick the lock,,
PickLockJammed,,,Try to pick the lock (jammed),,
LockCancel,,,Return to the item menu,,
InspectLock,,,Inspect the lock,,
InspectLockDisabled,,,Unable to inspect due to player permissions,,
Remote,,,Use your remote,,
RemoteDisabled,,,Unable to use due to player permissions,,
DialogNormalMode,,,Exit permission mode,,
DialogPermissionMode,,,Edit item permissions,,
Activity,,,Sexual activities,,
ShowAllZones,,,Show all zones,,
ButtPump,,,Use the butt plug's pump,,
ColorPick,,,Color of next item,,
ColorPickDisabled,,,Unable to change color due to player permissions,,
ColorChange,,,Change color,,
ColorSelect,,,Use this color,,
ColorCancel,,,Default color,,
Challenge,,,Challenge:,,
Swapping,,,Swapping...,,
Picking,,,Picking the lock...,,
Decoding,,,Decoding the lock...,,
Hacking,,,Hacking the item...,,
Struggling,,,Struggling...,,
Unlocking,,,Unlocking...,,
Removing,,,Removing...,,
Dismounting,,,Dismounting...,,
Escaping,,,Escaping...,,
Locking,,,Locking...,,
Adding,,,Adding...,,
Using75,,,Using 75% of your skill...,,
Using50,,,Using 50% of your skill...,,
Using25,,,Using 25% of your skill...,,
Using0,,,Using none of your skill...,,
Impossible,,,Impossible to escape!,,
Strength,,,Use brute force,,
Flexibility,,,Try to squeeze out,,
Dexterity,,,Try to unfasten,,
ChooseStruggleMethod,,,Choose struggling method...,,
CanStruggle,,,Struggle to free yourself,,
CannotStruggle,,,You'll need help to get out,,
CanUnlock,,,You can unlock yourself,,
CannotUnlock,,,You cannot unlock yourself,,
ZoneBlocked,,,This zone is out of reach from another item,,
LockZoneBlocked,,,Another item is blocking access to this lock,,
AccessBlocked,,,You cannot access your items,,
NoItems,,,You have no items in this category,,
ProgressDex,,,Click when the player reaches the buckle to progress,,
ProgressFlex,,,Click the ropes before they hit the ground to progress,,
ProgressClick,,,Click here to speed up the progress,,
ProgressKeys,,,Alternate keys A and S to speed up,,
ProgressKeysController,,,Alternate keys A and S or X and Y on a Controller to speed up,,
SelectInflateLevel,,,Select inflation level,,
GwenHoodSelectStyle,,,Select hood style,,
GwenHoodStyleHairOutAccOut,,,Hair out & Accessories out,,
GwenHoodStyleHairInAccOut,,, Hair in & Accessories out ,,
GwenHoodStyleHairOutAccIn,,, Hair out & Accessories in ,,
GwenHoodStyleHairInAccIn,,, Hair in & Accessories in ,,
GwenHoodChangeStyle,,,SourceCharacter changes the style of DestinationCharacter gwen hood.,,
PumpLevel0,,,Pump gag level: Empty,,
PumpLevel1,,,Pump gag level: Light,,
PumpLevel2,,,Pump gag level: Inflated,,
PumpLevel3,,,Pump gag level: Bloated,,
PumpLevel4,,,Pump gag level: Full mouth,,
InflateLevelEmpty,,,Empty,,
InflateLevelLight,,,Light,,
InflateLevelInflated,,,Inflated,,
InflateLevelBloated,,,Bloated,,
InflateLevelMaximum,,,Maximum,,
InflateLevel0,,,Inflation level: Empty,,
InflateLevel1,,,Inflation level: Light,,
InflateLevel2,,,Inflation level: Inflated,,
InflateLevel3,,,Inflation level: Bloated,,
InflateLevel4,,,Inflation level: Max,,
SelectSuctionLevel,,,Select suction level,,
SuctionLevelLoose,,,Loose,,
SuctionLevelLight,,,Light,,
SuctionLevelMedium,,,Medium,,
SuctionLevelHeavy,,,Heavy,,
SuctionLevelMaximum,,,Maximum,,
ClearFacialExpressions,,,Clear facial expressions,,
WinkFacialExpressions,,,Wink/Blink,,
BlindToggleFacialExpressions,,,Toggle closed eyes blindness,,
ClearActivePoses,,,Clear active poses,,
PoseMenu,,,Pose,,
DeflateIt,,,Deflate it,,
PumpIt,,,Pump it,,
pumps,,,pumps,,
deflates,,,deflates,,
plug,,,plug,,
gag,,,gag,,
's,,,'s,,
Heads,,,Heads,,
Tails,,,Tails,,
Her,,,her,,
Herself,,,herself,,
Someone,,,Someone,,
KneelDown,,,SourceCharacter kneels down,,
StandUp,,,SourceCharacter stands up,,
KneelDownPass,,,SourceCharacter carefully lowers herself down.,,
StandUpPass,,,SourceCharacter manages to get to her feet.,,
KneelDownFail,,,SourceCharacter almost loses her balance trying to kneel down!,,
StandUpFail,,,SourceCharacter tries to stand up but loses her balance and falls!,,
HelpKneelDown,,,SourceCharacter helps TargetCharacter to kneel down,,
HelpStandUp,,,SourceCharacter helps TargetCharacter to stand up,,
ChangeClothes,,,SourceCharacter changes DestinationCharacter clothes.,,
LARPChangeTeamClass,,,SourceCharacter selects her team and class.,,
LARPGameStart,,,SourceCharacter has started the LARP game.,,
SafewordDisabled,,,"Your safeword is disabled, it cannot be used at the moment.",,
Private,,,Private,,
Public,,,Public,,
Locked,,,Locked,,
Unlocked,,,Unlocked,,
CantChangeWhileLocked,,,Cannot change while locked,,
Delete,,,Delete,,
ConfirmDelete,,,Confirm,,
Beep,,,Beep,,
BeepFrom,,,Beep from,,
BeepWithMessage,,,With Message,,
BeepWithMail,,,(Mail),,
BeepFromOwner,,,Beep from your owner in your private room,,
SentBeep,,,Sent at,,
ChatRoomSpaceAsylum,,,Asylum,,
InAsylum,,,in the Asylum,,
InLarp,,,in LARP,,
ReceivedBeep,,,Received at,,
YourRoom,,,<i>Your private room</i>,,
InRoom,,,in room,,
PrivateRoom,,,<i>Private room</i>,,
WrestlingRing,,,Wrestling Ring,,
Introduction,,,Introduction,,
KidnapLeague,,,Kidnappers League,,
MaidQuarters,,,Maid Quarters,,
MainHall,,,Main Hall,,
Management,,,Club Management,,
Shibari,,,Shibari Dojo,,
Bedroom,,,Bedroom,,
HorseStable,,,Horse Stable,,
Nursery,,,Nursery,,
PrisonHall,,,Prison Hall,,
BDSMRoomBlue,,,BDSM Room Blue,,
BDSMRoomPurple,,,BDSM Room Purple,,
BDSMRoomRed,,,BDSM Room Red,,
Gardens,,,Gardens,,
IndoorPool,,,Indoor Pool,,
OutdoorPool,,,Outdoor Pool,,
MaidCafe,,,Maid Café,,
PublicBath,,,Public Bath,,
Onsen,,,Onsen,,
ParkDay,,,Park Day,,
ParkNight,,,Park Night,,
ChillRoom,,,Chill Room,,
Boudoir,,,Boudoir,,
Kitchen,,,Kitchen,,
DiningRoom,,,Dining Room,,
BondageBedChamber,,,Bondage Bedchamber,,
Beach,,,Beach,,
SheikhPrivate,,,Sheikh Private Room,,
SheikhTent,,,Sheikh Tent,,
SlumApartment,,,Slum Apartment,,
ForestPath,,,Forest Path,,
DeepForest,,,Deep Forest,,
SpookyForest,,,Spooky Forest,,
SlumRuins,,,Slum Ruins,,
AbandonedBuilding,,,Abandoned Building,,
AbandonedSideRoom,,,Abandoned Side Room,,
BalconyNight,,,Balcony Night,,
CozyLivingRoom,,,Cozy Living Room,,
RooftopParty,,,Rooftop Party,,
PartyBasement,,,Party Basement,,
CosyChalet,,,Cosy Chalet,,
AlchemistOffice,,,Alchemist Office,,
ResearchPrep,,,Research Lab,,
ResearchProgress,,,Research Lab,,
HellEntrance,,,Entrance to Hell,,
HeavenEntrance,,,Entrance to Heaven,,
OldFarm,,,Old Farm,,
RustySaloon,,,Rusty Saloon,,
PirateIsland,,,Pirate Island,,
PirateIslandNight,,,Pirate Island Night,,
ShipDeck,,,Ship's Deck,,
Shipwreck,,,Ship Wreck,,
CaptainCabin,,,Captain Cabin,,
UnderwaterOne,,,Underwater One,,
BeachHotel,,,Beach Hotel,,
DystopianCity,,,Dystopian City,,
ForestCave,,,Forest Cave,,
Kennels,,,Kennels,,
LockerRoom,,,Locker Room,,
SciFiCell,,,Sci Fi Cell,,
SpaceCaptainBedroom,,,Space Station Captain Bedroom,,
TiledBathroom,,,Tiled Bathroom,,
WoodenCabin,,,Wooden Cabin,,
MedinaMarket,,,Medina Market,,
ThroneRoom,,,Throne Room,,
Dungeon,,,Dungeon,,
Industrial,,,Industrial,,
SunTemple,,,Sun Temple,,
BackAlley,,,Back Alley,,
CreepyBasement,,,Creepy Basement,,
Cellar,,,Cellar,,
SlumCellar,,,Slum Cellar,,
BarRestaurant,,,Bar Restaurant,,
DungeonRuin,,,Ruined Dungeon,,
SlipperyClassroom,,,Slippery Classroom,,
MiddletownSchool,,,Middletown School,,
SchoolHospital,,,School Hospital,,
SchoolRuins,,,Abandoned School,,
SecretChamber,,,Secret Chamber,,
VaultCorridor,,,Vault Corridor,,
AncientRuins,,,Ancient Ruins,,
JungleTemple,,,Jungle Temple,,
CeremonialVenue,,,Ceremony Venue,,
BeachCafe,,,Beach Promenade Café,,
BoutiqueMain,,,Boutique Shop,,
BoutiqueBack,,,Shop Dressing Rooms,,
Confessions,,,Confessions,,
DesolateVillage,,,Desolate Village,,
LostVages,,,Lost Wages Casino,,
WeddingRoom,,,Wedding Room,,
WeddingArch,,,Wedding Arch,,
WeddingBeach,,,Wedding Beach,,
WitchWood,,,Witch Wood,,
ParkWinter,,,Park Winter,,
XmasEve,,,Xmas Eve Lounge,,
XmasDay,,,Xmas Day Lounge,,
StreetNight,,,Street Night,,
SnowyStreet,,,Snowy Street,,
SynthWave,,,Virtual World,,
AsylumEntrance,,,Entrance,,
AsylumBedroom,,,Bedroom,,
AsylumMeeting,,,Meeting,,
AsylumTherapy,,,Therapy,,
PaddedCell,,,Padded Cell,,
PaddedCell2,,,Padded Cell 2,,
Ranch,,,Ranch,,
OutdoorPool2,,,Luxury Pool,,
Wagons,,,Wagon Circle,,
Desert,,,Desert,,
WesternStreet,,,Western Street,,
RainyForestPathDay,,,Rainy Forest Path Day,,
RainyForstPathNight,,,Rainy Forest Path Night,,
RainyStreetDay,,,Rainy Street Day,,
RainyStreetNight,,,Rainy Street Night,,
SnowyChaletDay,,,Snowy Chalet Day,,
SnowyChaletNight,,,Snowy Chalet Night,,
SnowyDeepForest,,,Snowy Deep Forest,,
SnowyForestPathDay,,,Snowy Forest Path Day,,
SnowyForestPathNight,,,Snowy Forest Path Night,,
SnowyLakeNight,,,Snowy Lake Night,,
SnowyStreetDay1,,,Snowy Street Day 1,,
SnowyStreetDay2,,,Snowy Street Day 2,,
SnowyStreetNight2,,,Snowy Street Night,,
SnowyTown1,,,Snowy Town 1,,
SnowyTown2,,,Snowy Town 2,,
NightClub,,,Nightclub,,
EgyptianExhibit,,,Egyptian Exhibit,,
SciFiOutdoors,,,Sci Fi Outdoors,,
Castle,,,Fancy Castle,,
EgyptianTomb,,,Egyptian Tomb,,
PoolBottom,,,Pool Bottom,,
LatexRoom,,,Latex Room,,
OutsideCells,,,Outside Cells,,
Infiltration,,,Infiltration Bunker,,
MovieStudio,,,Movie Studio,,
CollegeTennis,,,Tennis Court,,
CollegeTheater,,,Theater,,
CollegeClass,,,College Classroom,,
SchoolHallway,,,School Hallway,,
HotelBedroom,,,Hotel Bedroom,,
ExtendedItemUnlockBeforeChange,,,Remove locks before changing,,
IntroductionMaidGreetings,,,"(As you enter the luxurious hallway, a maid comes to greet you.)  Welcome to the Bondage Club, is this your first visit?",,
ServerMessageOfferStartTrial,,,"SourceCharacter is offering you to start a trial period as her submissive.  Click on her and manage your relationship to accept, don't do anything to refuse.",,
ServerMessageStartTrial,,,The Bondage Club is pleased to announce that SourceCharacter is starting a 7 days minimum trial period as a submissive.,,
ServerMessageOfferEndTrial,,,"SourceCharacter has prepared a great collaring ceremony.  A maid brings a slave collar, which her submissive must consent to wear.",,
ServerMessageEndTrial,,,The Bondage Club is proud to announce that SourceCharacter is now fully collared.  Her fate is in her Mistress hands.,,
ServerMessageOwnerRuleChangeAllow,,,Your owner is now allowing you to access your wardrobe and change clothes.,,
ServerMessageOwnerRuleChangeBlock1Hour,,,Your owner has blocked your wardrobe access for an hour.  You won't be able to change clothes.,,
ServerMessageOwnerRuleChangeBlock1Day,,,Your owner has blocked your wardrobe access for a day.  You won't be able to change clothes.,,
ServerMessageOwnerRuleChangeBlock1Week,,,Your owner has blocked your wardrobe access for a week.  You won't be able to change clothes.,,
ServerMessageOwnerRuleChangeBlock,,,Your owner has blocked your wardrobe access.  You won't be able to change clothes until that rule is revoked.,,
ServerMessageOwnerRuleWhisperAllow,,,Your owner is now allowing you to whisper to other members when she's there.,,
ServerMessageOwnerRuleWhisperBlock,,,Your owner is now preventing you from whispering to other members when she's there.,,
ServerMessageOwnerRuleKeyAllow,,,Your owner is now allowing you to have keys.  You can buy keys from the club shop.,,
ServerMessageOwnerRuleKeyConfiscate,,,Your owner has confiscated your keys.  All your regular keys are lost.,,
ServerMessageOwnerRuleKeyBlock,,,Your owner is now preventing you from getting new keys.  The club shop will not sell keys to you anymore.,,
ServerMessageOwnerRuleSelfOwnerLockAllow,,,Your owner is now allowing to using owner locks on yourself.,,
ServerMessageOwnerRuleSelfOwnerLockBlock,,,Your owner is now preventing you from using owner locks on yourself.,,
ServerMessageOwnerRuleRemoteAllow,,,Your owner is now allowing you to have remotes.  You can buy remotes from the club shop.,,
ServerMessageOwnerRuleRemoteAllowSelf,,,Your owner is now allowing you to use remotes on yourself.,,
ServerMessageOwnerRuleRemoteConfiscate,,,Your owner has confiscated your remotes.  All your remotes are lost.,,
ServerMessageOwnerRuleRemoteBlock,,,Your owner is now preventing you from getting new remotes.  The club shop will not sell remotes to you anymore.,,
ServerMessageOwnerRuleRemoteBlockSelf,,,Your owner is now preventing you from using remotes on yourself.,,
ServerMessageOwnerRuleCollarWear,,,Your owner has locked the slave collar on your neck.,,
ServerMessageOwnerRuleCollarRelease,,,Your owner released you from the slave collar.,,
ServerMessageLoverRuleSelfLoverLockAllow,,,Your lover is now allowing you to use lovers locks on yourself.,,
ServerMessageLoverRuleSelfLoverLockBlock,,,Your lover is now preventing you from using lovers locks on yourself.,,
ServerMessageLoverRuleOwnerLoverLockAllow,,,Your lover is now allowing your owner to use lovers locks on you.,,
ServerMessageLoverRuleOwnerLoverLockBlock,,,Your lover is now preventing your owner from using lovers locks on you.,,
ServerMessageOfferBeginDating,,,"SourceCharacter is asking you to be her girlfriend.  Click on her and manage your relationship to accept, don't do anything to refuse.",,
ServerMessageBeginDating,,,The Bondage Club is pleased to announce that SourceCharacter and TargetCharacter are starting a 7 days minimum period as lovers.,,
ServerMessageOfferBeginEngagement,,,"SourceCharacter is asking you to become her fiancée.  Click on her and manage your relationship to accept, don't do anything to refuse.",,
ServerMessageBeginEngagement,,,The Bondage Club is pleased to announce that SourceCharacter and TargetCharacter are now engaged and are starting a 7 days minimum period as fiancées.,,
ServerMessageOfferBeginWedding,,,"SourceCharacter is proposing you to become her wife.  Click on her and manage your relationship to accept, don't do anything to refuse.",,
ServerMessageBeginWedding,,,The Bondage Club is proud to announce that SourceCharacter and TargetCharacter are now married. Long may it last.,,
ServerEnter,,,SourceCharacter entered.,,
ServerLeave,,,SourceCharacter left.,,
ServerDisconnect,,,SourceCharacter disconnected.,,
ServerBan,,,TargetCharacterName was banned by SourceCharacter.,,
ServerKick,,,SourceCharacter called the maids to escort TargetCharacterName out of the room.,,
ServerMoveLeft,,,TargetCharacterName was moved to the left by SourceCharacter.,,
ServerMoveRight,,,TargetCharacterName was moved to the right by SourceCharacter.,,
ServerSwap,,,SourceCharacter swapped TargetCharacterName and DestinationCharacterName places.,,
ServerShuffle,,,SourceCharacter shuffles the position of everyone in the room randomly.,,
ServerPromoteAdmin,,,TargetCharacterName was promoted to administrator by SourceCharacter.,,
ServerDemoteAdmin,,,TargetCharacterName was demoted from administration by SourceCharacter.,,
ServerUpdateRoom,,,SourceCharacter updated the room. Name: ChatRoomName. Limit: ChatRoomLimit.  ChatRoomPrivacy.  ChatRoomLocked.,,
ChatRoomBlockGaggedOOC,,,"You have disabled OOC/whispers while gagged. You can change this in the Immersion preferences screen.",,
ChatRoomStimulationMessageGag0,,,"You choke momentarily on the gag inside your throat.",,
ChatRoomStimulationMessageGag1,,,"It is difficult to breath with the gag pushing inside your throat.",,
ChatRoomStimulationMessageGag2,,,"Your jaw aches from the gag shoved down your throat.",,
ChatRoomStimulationMessageCrotchRope0,,,"Your crotch rope rubs against your vulva.",,
ChatRoomStimulationMessageCrotchRope1,,,"The knot on your crotch rope rubs against your clitoris.",,
ChatRoomStimulationMessageCrotchRope2,,,"The rope between your legs digs into your crotch.",,
ChatRoomStimulationMessagePlugFront0,,,"You feel the dildo shift around inside of you.",,
ChatRoomStimulationMessagePlugFront1,,,"You notice the large plug stuffed between your legs.",,
ChatRoomStimulationMessagePlugFront2,,,"The dildo inside of you teases you constantly.",,
ChatRoomStimulationMessagePlugBack0,,,"The plug inside of you shifts around as you move.",,
ChatRoomStimulationMessagePlugBack1,,,"Your butt plug stimulates you constantly as you move around.",,
ChatRoomStimulationMessagePlugBack2,,,"The plug inside your butt feels awkward as you move.",,
ChatRoomStimulationMessagePlugBoth0,,,"The plugs keep reminding you of their presence.",,
ChatRoomStimulationMessagePlugBoth1,,,"Your plugs torment you endlessly.",,
ChatRoomStimulationMessagePlugBoth2,,,"The plugs stuffed inside you keep you constantly on edge.",,
ChatRoomStimulationMessageVibe0,,,"The vibration in your sensitive areas is impossible to ignore.",,
ChatRoomStimulationMessageVibe1,,,"Your body trembles from the vibrators' constant stimulation.",,
ChatRoomStimulationMessageVibe2,,,"You can't stop noticing the vibrators teasing you.",,
ChatRoomStimulationMessageVibePlugFront0,,,"The vibration deep inside of you teases you relentlessly.",,
ChatRoomStimulationMessageVibePlugFront1,,,"The plug inside of you vibrates endlessly.",,
ChatRoomStimulationMessageVibePlugFront2,,,"The vibrator inside of you keeps you on edge.",,
ChatRoomStimulationMessageVibePlugBack0,,,"Your butt feels numb from the vibrations.",,
ChatRoomStimulationMessageVibePlugBack1,,,"The vibrations in your butt leave you panting without release.",,
ChatRoomStimulationMessageVibePlugBack2,,,"The vibrator inside your butt teases you constantly.",,
ChatRoomHelp,,,"Commands available : /help : show this help text, * or /me : write an emote, ** or /action : write an action, click on someone's name on the left to whisper, PgUp/PgDn keys to navigate chat input history, /coin : flip a coin, /dice Y or XdY : roll X dice with Y-sides (from 2 to 100 sides), /afk, /friendlistadd [ID], /friendlistremove [ID], /whitelistadd [ID], /whitelistremove [ID], /blacklistadd [ID], /blacklistremove [ID], /ghostadd [ID], /ghostremove [ID], /kick [ID], /ban [ID], /unban [ID], /promote [ID], /demote [ID]",,
ChatRoomLeashNotFriend,,,"You are not on that member's friendlist; ask her to friend you before leashing her.",,
ActionSwap,,,SourceCharacter swaps a PrevAsset for a NextAsset on DestinationCharacter FocusAssetGroup.,,
ActionUse,,,SourceCharacter uses a NextAsset on DestinationCharacter FocusAssetGroup.,,
ActionChangeColor,,,SourceCharacter changes the color of NextAsset on DestinationCharacter FocusAssetGroup.,,
ActionLock,,,SourceCharacter locks a NextAsset on DestinationCharacter FocusAssetGroup.,,
ActionAddLock,,,SourceCharacter adds a NextAsset on DestinationCharacter FocusAssetGroup PrevAsset.,,
ActionRemove,,,SourceCharacter removes the PrevAsset from DestinationCharacter FocusAssetGroup.,,
ActionUnlock,,,SourceCharacter unlocks the PrevAsset on DestinationCharacter FocusAssetGroup.,,
ActionPick,,,SourceCharacter picks the lock on DestinationCharacter PrevAsset.,,
ActionUnlockAndRemove,,,SourceCharacter unlocks and removes the PrevAsset from DestinationCharacter FocusAssetGroup.,,
ActionDice,,,SourceCharacter rolls DiceType.  The result is: DiceResult.,,
ActionCoin,,,SourceCharacter flips a coin.  The result is: CoinResult.,,
ActionActivateSafewordRevert,,,SourceCharacter used her safeword.  Please check for her well-being.,,
ActionActivateSafewordRelease,,,SourceCharacter used her safeword and wants to be released. She is guided out of the room for her safety.,,
ActionGrabbedForCell,,,"TargetCharacterName gets grabbed by two maids and locked in a timer cell, following her owner commands.",,
ActionGrabbedToServeDrinks,,,TargetCharacterName gets grabbed by two maids and escorted to the maid quarters to serve drinks for her owner.,,
ActionGiveEnvelopeToOwner,,,TargetCharacterName gives a sealed envelope to her owner.,,
